hour,forecast_generation_eq1,forecast_std,minimum_energy_eq1,commit_percentage,performance_ratio,confidence_factor,market_price_eq1,forecast_generation_eq2,minimum_energy_eq2,final_bid,additional_commitment,final_bid_percentage,additional_commitment_percentage,recovery_percentage,market_price_eq2,penalty_coefficient,tolerance_band,expected_penalty,expected_lost_revenue,forecast_uncertainty
0,46.340771851108926,78.31496227836429,0.0,0.0,0.85,1.96,65.99015272313655,46.340771851108926,0.0,3.6523185271835445,3.6523185271835445,7.881436543435876,7.881436543435876,0.0,65.99015272313655,100,0.05,343.545733998571,2817.017554360312,78.31496227836429
1,46.207186700272544,80.85569068948884,0.0,0.0,0.85,1.96,65.32503792375273,46.207186700272544,0.0,2.751324057826932,2.751324057826932,5.954320646425989,5.954320646425989,0.0,65.32503792375273,100,0.05,205.30642777156964,2838.755875127096,80.85569068948884
2,64.19830930942464,78.39835213806764,0.0,0.0,0.85,1.96,65.01180898853174,64.19830930942464,0.0,3.723817749612792,3.723817749612792,5.8004919283226615,5.8004919283226615,0.0,65.01180898853174,100,0.05,251.59528994193346,3931.5560939650977,78.39835213806764
3,90.06052969492345,81.39268084702876,0.0,0.0,0.85,1.96,64.87926719387973,90.06052969492345,0.0,5.624424922669618,5.624424922669618,6.245160828747221,6.245160828747221,0.0,64.87926719387973,100,0.05,400.6969109317047,5478.152602329515,81.39268084702876
4,142.0847698250132,79.60338314096994,0.0,0.0,0.85,1.96,65.06718314209796,142.0847698250132,0.0,27.077391927639397,27.077391927639397,19.057209270907073,19.057209270907073,0.0,65.06718314209796,100,0.05,2957.3164806337004,7483.206120341022,79.60338314096994
5,205.80662106361993,79.52878202239916,42.44067705475994,20.621628612055424,0.85,1.96,64.80940387096103,205.80662106361993,42.44067705475994,80.55043372411774,38.1097566693578,39.13889325223293,18.517264640177505,89.79535510280837,64.80940387096103,100,0.05,8610.257072447126,8117.778832622623,79.52878202239916
6,269.81943254219755,78.64866197201145,98.31784681549684,36.438386178920126,0.85,1.96,65.54422264615586,269.81943254219755,98.31784681549684,124.79284888782738,26.475002072330547,46.250504536329416,9.812118357409293,26.927971807614448,65.54422264615586,100,0.05,4000.851378978702,9505.654688653385,78.64866197201145
7,342.0213715432664,85.27103282164673,148.656625130913,43.46413338445654,0.85,1.96,66.04252911374013,342.0213715432664,148.656625130913,194.303849736237,45.647224605323984,56.810441072585775,13.346307688129224,30.706485207184812,66.04252911374013,100,0.05,7457.065938866877,9755.638734550357,85.27103282164673
8,400.127827383829,78.32418396214317,209.62056279532413,52.3883990188571,0.85,1.96,65.01619744032052,400.127827383829,209.62056279532413,278.60983642300107,68.98927362767691,69.63020748760374,17.241808468746626,32.91150100338143,65.01619744032052,100,0.05,10890.119502145677,7900.637692860323,78.32418396214317
9,469.4794376455654,82.6135121499217,261.423410756961,55.68367638591304,0.85,1.96,64.53037621950347,469.4794376455654,261.423410756961,325.34094000448187,63.91752924752088,69.29822989395731,13.614553508044281,24.449810773428958,64.53037621950347,100,0.05,7205.741388018808,9301.31148049315,82.6135121499217
10,512.2639938367561,80.57828869701137,301.1809657920217,58.7940923851071,0.85,1.96,64.57492056249848,512.2639938367561,301.1809657920217,381.8059076150894,80.62494182306767,74.53303613151465,15.73894374640755,26.769600665515707,64.57492056249848,100,0.05,11030.005382631665,8424.320554499574,80.57828869701137
11,528.6587436983019,79.89033945357576,316.2626266138994,59.823587594795555,0.85,1.96,64.59758897480341,528.6587436983019,316.2626266138994,404.70604026303744,88.44341364913807,76.55336170775556,16.72977411296,27.965180266814073,64.59758897480341,100,0.05,6367.7148130662345,8007.045788827112,79.89033945357576
12,535.0214742887352,81.20886523606904,319.4742836621339,59.712422587681615,0.85,1.96,65.60154623889754,535.0214742887352,319.4742836621339,366.78153430940216,47.307250647268255,68.55454443151211,8.842121843830503,14.807843093029337,65.60154623889754,100,0.05,1822.0833953773658,11036.80020178352,81.20886523606904
13,524.3531930266232,79.55155733634736,313.16731955027507,59.72449938611788,0.85,1.96,64.49657316735507,524.3531930266232,313.16731955027507,412.875763606451,99.70844405617596,78.74001133153925,19.01551194542138,31.838712991943925,64.49657316735507,100,0.05,5598.096294926121,7189.912183106863,79.55155733634736
14,508.2645530477424,71.2072844498301,313.3935341971641,61.65952992746405,0.85,1.96,64.75235355783207,508.2645530477424,313.3935341971641,394.9133903946605,81.51985619749641,77.69839309599963,16.038863168535592,26.011977690072612,64.75235355783207,100,0.05,3343.6187112642783,7339.754560303812,71.2072844498301
15,458.4321830058831,80.84531866701188,254.97905465575886,55.619798109262916,0.85,1.96,65.37381444853312,458.4321830058831,254.97905465575886,332.6912345680115,77.71217991225262,72.57152680394213,16.951728694679215,30.47786808103512,65.37381444853312,100,0.05,7915.888794672265,8220.165431760071,80.84531866701188
16,409.28795317008155,77.65755187890427,218.51727876431477,53.38961898873893,0.85,1.96,65.43235237794309,409.28795317008155,218.51727876431477,295.44598197597224,76.92870321165749,72.18535988846911,18.795740899730173,35.20486052484213,65.43235237794309,100,0.05,9640.015025934194,7448.9479745726885,77.65755187890427
17,344.24758289590227,79.90379898425326,159.490716353751,46.330235643798176,0.85,1.96,64.87078531627257,344.24758289590227,159.490716353751,227.27236615571024,67.78164980195926,66.02003251376077,19.6897968699626,42.498805793573155,64.87078531627257,100,0.05,13460.19890796765,7588.274172477426,79.90379898425326
18,275.0785647209824,78.79121372411964,102.55061794845173,37.2804831421419,0.85,1.96,64.44461025171633,275.0785647209824,102.55061794845173,127.72210614954304,25.171488201091307,46.43113732947316,9.15065418733126,24.545428106288007,64.44461025171633,100,0.05,2126.040671075429,9496.329540709663,78.79121372411964
19,216.46717407302816,83.54902920311952,44.80441530967682,20.698018303025215,0.85,1.96,66.01627622914596,216.46717407302816,44.80441530967682,89.74764107807357,44.94322576839676,41.46016201412412,20.762143711098915,100.30981423987015,66.01627622914596,100,0.05,11160.83164852695,8365.551693823203,83.54902920311952
20,142.53488839272035,80.26207974322402,0.0,0.0,0.85,1.96,64.6872126728934,142.53488839272035,0.0,34.535187957138056,34.535187957138056,24.229287542559206,24.229287542559206,0.0,64.6872126728934,100,0.05,4694.967877459701,6986.199590685124,80.26207974322402
21,96.46337602549343,81.84884214141141,0.0,0.0,0.85,1.96,64.80122674151944,96.46337602549343,0.0,5.684332036125735,5.684332036125735,5.892735948432361,5.892735948432361,0.0,64.80122674151944,100,0.05,305.96211007639516,5882.593412933271,81.84884214141141
22,62.97831699526742,80.10113425074661,0.0,0.0,0.85,1.96,64.31299059651302,62.97831699526742,0.0,4.064133435217892,4.064133435217892,6.453226489877931,6.453226489877931,0.0,64.31299059651302,100,0.05,336.1154435209513,3788.9473332986495,80.10113425074661
23,51.29560104952427,81.15647807469084,0.0,0.0,0.85,1.96,64.4405264884759,51.29560104952427,0.0,2.4898602466002044,2.4898602466002044,4.853944969270023,4.853944969270023,0.0,64.4405264884759,100,0.05,165.30001962409852,3145.0676330005444,81.15647807469084
