YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,SZA,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,WS10M,WD10M,PS,timestamp,irradiance,temperature,humidity,solar_power_w,hour,day_of_week,month,day_of_year,lag_24h,lag_48h,is_daytime
2020,1,1,5,9.65,9.52,73.45,8.39,0.31,88.76,14.07,13.47,13.77,11.54,96.02,0.0,4.15,23.9,83.72,2020-01-01 05:00:00,9.52,14.07,96.02,952.0,5,2,1,1,,,True
2020,1,1,6,186.0,183.3,501.07,56.82,0.59,77.3,15.82,13.57,14.7,11.61,86.36,0.0,4.91,23.5,83.78,2020-01-01 06:00:00,183.3,15.82,86.36,18330.0,6,2,1,1,,,True
2020,1,1,7,441.8,436.77,630.27,97.77,0.7,63.66,19.8,13.67,16.73,11.67,67.59,0.01,6.77,34.9,83.83,2020-01-01 07:00:00,436.77,19.8,67.59,43677.0,7,2,1,1,,,True
2020,1,1,8,677.85,672.72,777.99,110.48,0.75,50.35,22.53,13.06,17.8,11.22,54.98,0.06,7.65,38.0,83.84,2020-01-01 08:00:00,672.72,22.53,54.98,67272.0,8,2,1,1,,,True
2020,1,1,9,865.1,859.92,919.95,107.33,0.77,37.83,24.39,12.64,18.52,10.92,47.82,0.06,7.38,40.2,83.8,2020-01-01 09:00:00,859.92,24.39,47.82,85992.0,9,2,1,1,,,True
2020,1,1,10,984.55,982.95,962.12,100.92,0.79,27.33,25.78,12.37,19.08,10.73,43.23,0.04,6.97,42.7,83.75,2020-01-01 10:00:00,982.95,25.78,43.23,98295.0,10,2,1,1,,,True
2020,1,1,11,1034.12,1032.22,922.7,115.01,0.79,22.01,26.71,12.25,19.48,10.65,40.58,0.03,6.67,45.9,83.67,2020-01-01 11:00:00,1032.22,26.71,40.58,103222.0,11,2,1,1,,,True
2020,1,1,12,1001.97,995.55,903.9,149.26,0.78,25.38,27.17,12.2,19.68,10.63,39.38,0.03,6.54,49.0,83.58,2020-01-01 12:00:00,995.55,27.17,39.38,99555.0,12,2,1,1,,,True
2020,1,1,13,893.95,875.3,802.05,198.58,0.76,35.02,27.11,12.04,19.57,10.53,39.11,0.03,6.45,51.8,83.5,2020-01-01 13:00:00,875.3,27.11,39.11,87530.0,13,2,1,1,,,True
2020,1,1,14,720.35,692.62,734.04,186.36,0.72,47.2,26.62,11.84,19.23,10.39,39.71,0.01,6.39,54.5,83.46,2020-01-01 14:00:00,692.62,26.62,39.71,69262.0,14,2,1,1,,,True
2020,1,1,15,493.67,453.15,596.28,141.48,0.65,60.38,25.59,11.85,18.72,10.4,42.25,0.0,6.39,57.1,83.48,2020-01-01 15:00:00,453.15,25.59,42.25,45315.0,15,2,1,1,,,True
2020,1,1,16,240.1,216.4,573.47,62.94,0.56,73.97,23.85,12.19,18.02,10.63,47.93,0.0,6.25,59.3,83.53,2020-01-01 16:00:00,216.4,23.85,47.93,21640.0,16,2,1,1,,,True
2020,1,1,17,27.1,24.02,91.33,19.55,0.32,86.95,20.85,13.3,17.07,11.43,61.88,0.0,4.56,62.7,83.59,2020-01-01 17:00:00,24.02,20.85,61.88,2402.0,17,2,1,1,,,True
2020,1,2,5,8.5,8.2,28.92,8.9,0.28,88.81,15.83,15.26,15.55,12.97,96.26,0.18,4.38,43.6,83.71,2020-01-02 05:00:00,8.2,15.83,96.26,819.9999999999999,5,3,1,2,,,True
