YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,SZA,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,WS10M,WD10M,PS,timestamp,irradiance,temperature,humidity,solar_power_w,hour,day_of_week,month,day_of_year,lag_24h,lag_48h,is_daytime
2024,1,1,5,7.4,5.65,2.02,6.92,0.19,88.76,15.12,14.94,15.03,12.68,98.69,0.18,2.38,54.0,83.87,2024-01-01 05:00:00,5.65,15.12,98.69,565.0,5,0,1,1,78245.0,56247.0,True
2024,1,1,6,139.8,99.3,88.47,80.08,0.32,77.3,17.31,15.07,16.19,12.78,86.57,0.08,3.9,54.3,83.94,2024-01-01 06:00:00,99.3,17.31,86.57,9930.0,6,0,1,1,59429.99999999999,81595.0,True
2024,1,1,7,368.95,256.73,216.85,142.48,0.41,63.66,20.19,14.78,17.49,12.54,70.99,0.18,4.63,50.9,83.99,2024-01-01 07:00:00,256.73,20.19,70.99,25673.0,7,0,1,1,38577.0,92015.0,True
2024,1,1,8,604.45,457.5,273.7,272.28,0.51,50.35,22.91,14.37,18.64,12.2,58.48,0.27,4.3,43.1,83.98,2024-01-01 08:00:00,457.5,22.91,58.48,45750.0,8,0,1,1,17010.0,90597.0,True
2024,1,1,9,806.28,646.83,395.23,267.38,0.58,37.83,25.31,13.99,19.65,11.91,49.41,0.34,3.83,44.4,83.93,2024-01-01 09:00:00,646.83,25.31,49.41,64683.00000000001,9,0,1,1,1593.0,84142.0,True
2024,1,1,10,931.38,727.65,243.43,361.98,0.58,27.33,27.02,13.55,20.29,11.58,43.39,0.43,3.55,48.3,83.85,2024-01-01 10:00:00,727.65,27.02,43.39,72765.0,10,0,1,1,985.0,74772.0,True
2024,1,1,11,1004.6,797.67,454.68,298.4,0.61,22.0,28.03,13.24,20.64,11.36,40.09,0.71,3.67,52.4,83.75,2024-01-01 11:00:00,797.67,28.03,40.09,79767.0,11,0,1,1,14025.0,57785.0,True
2024,1,1,12,972.65,759.4,443.74,262.26,0.6,25.38,28.22,12.97,20.59,11.18,38.98,0.92,4.01,57.5,83.66,2024-01-01 12:00:00,759.4,28.22,38.98,75940.0,12,0,1,1,32927.0,36577.0,True
2024,1,1,13,867.9,659.97,550.88,222.71,0.57,35.02,27.79,12.81,20.3,11.07,39.54,0.88,4.43,62.9,83.58,2024-01-01 13:00:00,659.97,27.79,39.54,65997.0,13,0,1,1,52660.0,15993.0,True
2024,1,1,14,695.05,462.0,311.26,262.27,0.48,47.2,26.86,12.84,19.85,11.1,41.85,0.99,4.82,67.1,83.55,2024-01-01 14:00:00,462.0,26.86,41.85,46200.0,14,0,1,1,74690.0,1288.0,True
2024,1,1,15,474.02,303.45,297.59,165.31,0.44,60.38,25.68,13.18,19.43,11.34,45.85,0.96,5.06,70.1,83.58,2024-01-01 15:00:00,303.45,25.68,45.85,30345.0,15,0,1,1,92925.0,1302.0,True
2024,1,1,16,227.8,138.68,224.95,83.12,0.36,73.97,24.34,13.58,18.96,11.64,51.01,0.37,4.94,73.4,83.65,2024-01-01 16:00:00,138.68,24.34,51.01,13868.0,16,0,1,1,94620.0,17300.0,True
