day,mae,rmse,r2,retrained,drift
1,375.2369384765625,375.2369384765625,0.9901483694698193,False,0.0
2,517.55078125,517.55078125,0.9934825568588124,False,0.0
3,850.03125,850.03125,0.9816383215630325,False,0.0
4,1008.34375,1008.34375,-0.5421311450764648,False,0.0
5,1427.5214843749964,1427.5214843749964,0.9663774828139178,False,0.0
6,412.93603515625,412.93603515625,0.9952507514546033,False,0.0
7,55.19940185546875,55.19940185546875,0.9543095874898473,False,0.0
8,810.2158203125,810.2158203125,0.9738428572282536,False,0.0
9,1646.25390625,1646.25390625,0.9745139263230782,False,0.0
10,798.876953125,798.876953125,0.9731131061898946,False,0.0
11,1794.599609375,1794.599609375,0.8792017536838765,False,0.0
12,229.9765625,229.9765625,0.9993712919265167,False,0.0
13,781.8133544921875,781.8133544921875,0.9257755154267167,False,0.0
14,487.85870361328034,487.85870361328034,0.990678569284931,False,0.0
15,899.0791015625,899.0791015625,0.9886115091353829,False,0.0
16,816.83984375,816.83984375,0.9870791717692794,False,0.0
17,1044.41796875,1044.41796875,-0.941373068071935,False,0.0
18,965.3203125,965.3203125,0.9892599081256718,False,0.0
19,916.1533203125,916.1533203125,0.9860322524363673,False,0.0
20,67.73373413085938,67.73373413085938,0.9910809240959825,False,0.0
21,313.876953125,313.876953125,0.9991466645113966,False,-0.3857672838240978
22,1081.953125,1081.953125,0.9808571539378239,True,3.1626031710401263
23,11712.046875,11712.046875,-441.34261136060576,True,66.19547100463816
24,7674.0,7674.0,-0.682532211597807,True,24.442272523877108
25,38274.2734375,38274.2734375,-11.125217800701671,True,108.57502702857695
26,72669.3984375,72669.3984375,-127.13270477515789,True,102.08104847095511
27,62099.59375,62099.59375,-53.656633313670476,True,43.375589471545965
28,16068.734375,16068.734375,-2.273705251235216,True,7.44012092154832
29,18772.0390625,18772.0390625,-16.164979219720337,True,7.772337072555826
30,23840.453125,23840.453125,-197.47916545135524,True,9.702999714815418
